Lp.,iteracja,Nazwa algorytmu,Liczba epok,Wspolczynnik uczenia,Liczba warstw ukrytych,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
100,1,GradientDescent,200,0.01,1,361.14,127,78,61.95
101,1,GradientDescent,200,0.2,1,363.79,127,78,61.95
102,1,GradientDescent,200,0.4,1,362.75,127,78,61.95
103,1,GradientDescent,200,0.6,1,355.34,127,78,61.95
104,1,GradientDescent,200,0.9,1,361.99,127,78,61.95
105,1,GradientDescent,200,0.01,3,634.98,127,78,61.95
106,1,GradientDescent,200,0.2,3,634.59,127,78,61.95
107,1,GradientDescent,200,0.4,3,636.04,127,78,61.95
108,1,GradientDescent,200,0.6,3,638.66,127,78,61.95
109,1,GradientDescent,200,0.9,3,633.23,127,78,61.95
110,1,GradientDescent,200,0.01,5,969.87,78,127,38.05
111,1,GradientDescent,200,0.2,5,959.22,127,78,61.95
112,1,GradientDescent,200,0.4,5,2398.3,127,78,61.95
113,1,GradientDescent,200,0.6,5,983.41,127,78,61.95
114,1,GradientDescent,200,0.9,5,973.72,127,78,61.95
115,1,GradientDescent,500,0.01,1,452.66,127,78,61.95
116,1,GradientDescent,500,0.2,1,453.08,127,78,61.95
117,1,GradientDescent,500,0.4,1,449.15,127,78,61.95
118,1,GradientDescent,500,0.6,1,453.15,127,78,61.95
119,1,GradientDescent,500,0.9,1,453.89,153,52,74.63
120,1,GradientDescent,500,0.01,3,777.0,127,78,61.95
121,1,GradientDescent,500,0.2,3,773.61,127,78,61.95
122,1,GradientDescent,500,0.4,3,775.72,127,78,61.95
123,1,GradientDescent,500,0.6,3,781.76,127,78,61.95
124,1,GradientDescent,500,0.9,3,775.8,127,78,61.95
125,1,GradientDescent,500,0.01,5,1218.2,127,78,61.95
126,1,GradientDescent,500,0.2,5,3286.9,127,78,61.95
127,1,GradientDescent,500,0.4,5,1866.28,127,78,61.95
128,1,GradientDescent,500,0.6,5,1772.5,127,78,61.95
129,1,GradientDescent,500,0.9,5,1277.1,127,78,61.95
130,1,GradientDescent,1000,0.01,1,608.91,127,78,61.95
131,1,GradientDescent,1000,0.2,1,602.64,127,78,61.95
132,1,GradientDescent,1000,0.4,1,602.82,147,58,71.71
133,1,GradientDescent,1000,0.6,1,612.61,136,69,66.34
134,1,GradientDescent,1000,0.9,1,612.4,174,31,84.88
135,1,GradientDescent,1000,0.01,3,1041.44,127,78,61.95
136,1,GradientDescent,1000,0.2,3,1075.54,127,78,61.95
137,1,GradientDescent,1000,0.4,3,1005.61,127,78,61.95
138,1,GradientDescent,1000,0.6,3,1000.47,127,78,61.95
139,1,GradientDescent,1000,0.9,3,2020.55,127,78,61.95
140,1,GradientDescent,1000,0.01,5,1947.56,127,78,61.95
141,1,GradientDescent,1000,0.2,5,1470.47,127,78,61.95
142,1,GradientDescent,1000,0.4,5,1461.3,127,78,61.95
143,1,GradientDescent,1000,0.6,5,1505.96,127,78,61.95
144,1,GradientDescent,1000,0.9,5,1459.88,127,78,61.95
145,1,GradientDescent,2000,0.01,1,918.42,127,78,61.95
146,1,GradientDescent,2000,0.2,1,904.21,127,78,61.95
147,1,GradientDescent,2000,0.4,1,954.06,176,29,85.85
148,1,GradientDescent,2000,0.6,1,919.47,175,30,85.37
149,1,GradientDescent,2000,0.9,1,910.73,176,29,85.85
150,1,GradientDescent,2000,0.01,3,1472.81,127,78,61.95
151,1,GradientDescent,2000,0.2,3,2494.86,127,78,61.95
152,1,GradientDescent,2000,0.4,3,1493.89,127,78,61.95
153,1,GradientDescent,2000,0.6,3,1492.58,127,78,61.95
154,1,GradientDescent,2000,0.9,3,1538.45,127,78,61.95
