Lp.,iteracja,Nazwa algorytmu,Liczba epok,Wspolczynnik uczenia,Liczba warstw ukrytych,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
820,3,QuasiNewton,250,-,1,16993.84,176,29,85.85
821,3,QuasiNewton,250,-,3,33376.6,174,31,84.88
822,3,QuasiNewton,250,-,5,56744.97,176,29,85.85
823,3,QuasiNewton,300,-,1,18000.98,170,35,82.93
824,3,QuasiNewton,300,-,3,33478.26,175,30,85.37
825,3,QuasiNewton,300,-,5,51532.34,181,24,88.29
826,3,QuasiNewton,350,-,1,17560.52,127,78,61.95
827,3,QuasiNewton,350,-,3,33925.33,45,160,21.95
828,3,QuasiNewton,350,-,5,53979.88,172,33,83.9
829,3,QuasiNewton,400,-,1,21020.28,180,25,87.8
830,3,QuasiNewton,400,-,3,38332.21,178,27,86.83
831,3,QuasiNewton,400,-,5,64421.15,180,25,87.8
832,3,QuasiNewton,450,-,1,18439.29,127,78,61.95
833,3,QuasiNewton,450,-,3,31213.89,178,27,86.83
834,3,QuasiNewton,450,-,5,66387.63,176,29,85.85
835,3,QuasiNewton,500,-,1,19879.15,175,30,85.37
836,3,QuasiNewton,500,-,3,40803.2,175,30,85.37
837,3,QuasiNewton,500,-,5,54341.36,78,127,38.05
1198,4,QuasiNewton,10,-,1,15507.19,127,78,61.95
1199,4,QuasiNewton,10,-,3,27234.91,127,78,61.95
1200,4,QuasiNewton,10,-,5,40495.16,127,78,61.95
1201,4,QuasiNewton,20,-,1,17178.04,172,33,83.9
1202,4,QuasiNewton,20,-,3,27949.5,133,72,64.88
1203,4,QuasiNewton,20,-,5,41289.84,127,78,61.95
1204,4,QuasiNewton,30,-,1,16773.68,175,30,85.37
1205,4,QuasiNewton,30,-,3,28824.66,176,29,85.85
1206,4,QuasiNewton,30,-,5,41667.96,127,78,61.95
1207,4,QuasiNewton,50,-,1,18076.12,175,30,85.37
1208,4,QuasiNewton,50,-,3,28931.57,175,30,85.37
1209,4,QuasiNewton,50,-,5,42354.56,171,34,83.41
1210,4,QuasiNewton,100,-,1,16388.2,180,25,87.8
1211,4,QuasiNewton,100,-,3,29994.96,177,28,86.34
1212,4,QuasiNewton,100,-,5,51881.91,127,78,61.95
1213,4,QuasiNewton,150,-,1,17118.9,178,27,86.83
1214,4,QuasiNewton,150,-,3,31953.74,175,30,85.37
1215,4,QuasiNewton,150,-,5,46306.53,174,31,84.88
1216,4,QuasiNewton,200,-,1,19497.23,173,32,84.39
1217,4,QuasiNewton,200,-,3,29506.23,172,33,83.9
1218,4,QuasiNewton,200,-,5,48626.39,175,30,85.37
1219,4,QuasiNewton,250,-,1,15550.01,177,28,86.34
1220,4,QuasiNewton,250,-,3,28601.47,175,30,85.37
1221,4,QuasiNewton,250,-,5,56070.26,178,27,86.83
1222,4,QuasiNewton,300,-,1,16148.62,180,25,87.8
1223,4,QuasiNewton,300,-,3,30631.21,179,26,87.32
1224,4,QuasiNewton,300,-,5,49966.06,178,27,86.83
1225,4,QuasiNewton,350,-,1,18279.28,175,30,85.37
1226,4,QuasiNewton,350,-,3,27519.36,177,28,86.34
1227,4,QuasiNewton,350,-,5,47347.48,127,78,61.95
1228,4,QuasiNewton,400,-,1,17984.29,173,32,84.39
1229,4,QuasiNewton,400,-,3,29877.75,175,30,85.37
1230,4,QuasiNewton,400,-,5,53972.64,175,30,85.37
1231,4,QuasiNewton,450,-,1,18740.98,170,35,82.93
1232,4,QuasiNewton,450,-,3,31005.56,174,31,84.88
1233,4,QuasiNewton,450,-,5,53701.23,176,29,85.85
1234,4,QuasiNewton,500,-,1,20897.57,177,28,86.34
1235,4,QuasiNewton,500,-,3,33853.52,175,30,85.37
1236,4,QuasiNewton,500,-,5,66549.04,177,28,86.34
