Lp.,iteracja,Nazwa algorytmu,Liczba epok,Wspolczynnik uczenia,Liczba warstw ukrytych,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
441,2,GradientDescent,10,0.4,1,295.5,127,78,61.95
442,2,GradientDescent,10,0.6,1,301.83,127,78,61.95
443,2,GradientDescent,10,0.9,1,294.87,127,78,61.95
444,2,GradientDescent,10,0.01,3,539.61,78,127,38.05
445,2,GradientDescent,10,0.2,3,551.99,127,78,61.95
446,2,GradientDescent,10,0.4,3,546.26,78,127,38.05
447,2,GradientDescent,10,0.6,3,533.77,127,78,61.95
448,2,GradientDescent,10,0.9,3,541.08,127,78,61.95
449,2,GradientDescent,10,0.01,5,836.12,127,78,61.95
450,2,GradientDescent,10,0.2,5,840.91,127,78,61.95
451,2,GradientDescent,10,0.4,5,836.2,127,78,61.95
452,2,GradientDescent,10,0.6,5,838.75,127,78,61.95
453,2,GradientDescent,10,0.9,5,838.61,127,78,61.95
454,2,GradientDescent,20,0.01,1,285.95,78,127,38.05
455,2,GradientDescent,20,0.2,1,289.69,127,78,61.95
456,2,GradientDescent,20,0.4,1,1814.08,127,78,61.95
457,2,GradientDescent,20,0.6,1,305.18,127,78,61.95
458,2,GradientDescent,20,0.9,1,297.78,127,78,61.95
459,2,GradientDescent,20,0.01,3,545.49,127,78,61.95
460,2,GradientDescent,20,0.2,3,556.72,127,78,61.95
461,2,GradientDescent,20,0.4,3,550.75,127,78,61.95
462,2,GradientDescent,20,0.6,3,543.19,127,78,61.95
463,2,GradientDescent,20,0.9,3,551.67,127,78,61.95
464,2,GradientDescent,20,0.01,5,842.81,78,127,38.05
465,2,GradientDescent,20,0.2,5,845.72,127,78,61.95
466,2,GradientDescent,20,0.4,5,848.71,127,78,61.95
467,2,GradientDescent,20,0.6,5,860.28,127,78,61.95
468,2,GradientDescent,20,0.9,5,850.63,127,78,61.95
469,2,GradientDescent,50,0.01,1,298.19,127,78,61.95
