Lp.,iteracja,Nazwa algorytmu,Liczba epok,Wspolczynnik uczenia,Liczba warstw ukrytych,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
312,1,ConjugateGradient,1000,0.4,1,801.78,176,29,85.85
313,1,ConjugateGradient,1000,0.6,1,780.67,127,78,61.95
314,1,ConjugateGradient,1000,0.9,1,786.44,171,34,83.41
315,1,ConjugateGradient,1000,0.01,3,1288.27,127,78,61.95
316,1,ConjugateGradient,1000,0.2,3,1223.88,78,127,38.05
317,1,ConjugateGradient,1000,0.4,3,1198.63,125,80,60.98
318,1,ConjugateGradient,1000,0.6,3,1375.81,171,34,83.41
319,1,ConjugateGradient,1000,0.9,3,1163.85,127,78,61.95
320,1,ConjugateGradient,1000,0.01,5,1625.5,127,78,61.95
321,1,ConjugateGradient,1000,0.2,5,1611.75,127,78,61.95
322,1,ConjugateGradient,1000,0.4,5,2745.94,127,78,61.95
323,1,ConjugateGradient,1000,0.6,5,1647.13,127,78,61.95
324,1,ConjugateGradient,1000,0.9,5,1700.19,127,78,61.95
325,1,ConjugateGradient,2000,0.01,1,1230.29,146,59,71.22
326,1,ConjugateGradient,2000,0.2,1,1192.01,177,28,86.34
327,1,ConjugateGradient,2000,0.4,1,1189.77,176,29,85.85
328,1,ConjugateGradient,2000,0.6,1,1179.37,175,30,85.37
329,1,ConjugateGradient,2000,0.9,1,1217.13,180,25,87.8
330,1,ConjugateGradient,2000,0.01,3,1787.21,127,78,61.95
331,1,ConjugateGradient,2000,0.2,3,1763.82,78,127,38.05
332,1,ConjugateGradient,2000,0.4,3,1816.05,177,28,86.34
333,1,ConjugateGradient,2000,0.6,3,2641.38,127,78,61.95
334,1,ConjugateGradient,2000,0.9,3,1698.93,127,78,61.95
335,1,ConjugateGradient,2000,0.01,5,2426.8,127,78,61.95
336,1,ConjugateGradient,2000,0.2,5,2454.11,127,78,61.95
337,1,ConjugateGradient,2000,0.4,5,2405.87,127,78,61.95
338,1,ConjugateGradient,2000,0.6,5,2228.97,127,78,61.95
339,1,ConjugateGradient,2000,0.9,5,2232.19,127,78,61.95
340,1,ConjugateGradient,5000,0.01,1,2323.74,174,31,84.88
341,1,ConjugateGradient,5000,0.2,1,2350.41,181,24,88.29
342,1,ConjugateGradient,5000,0.4,1,3270.78,182,23,88.78
343,1,ConjugateGradient,5000,0.6,1,2439.31,186,19,90.73
344,1,ConjugateGradient,5000,0.9,1,2314.46,173,32,84.39
345,1,ConjugateGradient,5000,0.01,3,3643.29,180,25,87.8
346,1,ConjugateGradient,5000,0.2,3,3526.24,127,78,61.95
347,1,ConjugateGradient,5000,0.4,3,3121.97,127,78,61.95
348,1,ConjugateGradient,5000,0.6,3,3130.12,127,78,61.95
349,1,ConjugateGradient,5000,0.9,3,3093.18,127,78,61.95
350,1,ConjugateGradient,5000,0.01,5,4657.23,127,78,61.95
351,1,ConjugateGradient,5000,0.2,5,4639.35,127,78,61.95
352,1,ConjugateGradient,5000,0.4,5,4642.73,127,78,61.95
353,1,ConjugateGradient,5000,0.6,5,5467.85,127,78,61.95
354,1,ConjugateGradient,5000,0.9,5,4208.75,127,78,61.95
355,1,ConjugateGradient,10000,0.01,1,4399.35,178,27,86.83
356,1,ConjugateGradient,10000,0.2,1,4402.52,182,23,88.78
357,1,ConjugateGradient,10000,0.4,1,4357.62,180,25,87.8
358,1,ConjugateGradient,10000,0.6,1,4380.68,184,21,89.76
